id,created_at,title,content,type,emitter,provider,purchaser
1,5/18/2023 4:13,Emission Report Due,Your monthly emission report is due in 3 days.,warning,TRUE,FALSE,FALSE
2,9/13/2023 4:13,New Solution Available,A new green solution has been added to the marketplace.,info,TRUE,TRUE,TRUE
3,12/16/2022 4:13,Payment Failed,Your payment for the green energy solution has failed. Please update your payment method.,error,FALSE,TRUE,TRUE
4,9/6/2023 4:13,New Certification Acquired,A green solution you use has acquired a new certification.,info,TRUE,TRUE,FALSE
5,1/23/2023 4:13,Emission Reduction Target Missed,"Unfortunately, you did not meet the emission reduction target for this month.",warning,TRUE,FALSE,FALSE
6,9/11/2023 4:13,Payment Received,Your payment for the green energy solution has been received.,info,FALSE,TRUE,TRUE
7,8/27/2023 4:13,Emission Report Due,Your monthly emission report is due in 3 days.,warning,TRUE,FALSE,FALSE
8,3/22/2023 4:13,Emission Report Due,Your monthly emission report is due in 3 days.,warning,TRUE,FALSE,FALSE
9,6/15/2023 4:13,Emission Reduction Target Met,Congratulations! Your emission reduction target for this month has been achieved.,info,TRUE,FALSE,TRUE
10,12/6/2022 4:13,Payment Failed,Your payment for the green energy solution has failed. Please update your payment method.,error,FALSE,TRUE,TRUE
11,8/4/2023 4:13,Payment Received,Your payment for the green energy solution has been received.,info,FALSE,TRUE,TRUE
12,6/22/2023 4:13,Emission Report Received,Your emission report for the month has been successfully received.,info,TRUE,FALSE,FALSE
13,4/16/2023 4:13,Payment Received,Your payment for the green energy solution has been received.,info,FALSE,TRUE,TRUE
14,11/1/2022 4:13,Payment Failed,Your payment for the green energy solution has failed. Please update your payment method.,error,FALSE,TRUE,TRUE
15,11/20/2022 4:13,New Solution Available,A new green solution has been added to the marketplace.,info,TRUE,TRUE,TRUE
16,11/20/2022 4:13,Emission Report Received,Your emission report for the month has been successfully received.,info,TRUE,FALSE,FALSE
17,10/24/2022 4:13,Emission Reduction Target Missed,"Unfortunately, you did not meet the emission reduction target for this month.",warning,TRUE,FALSE,FALSE
18,11/1/2022 4:13,New Solution Available,A new green solution has been added to the marketplace.,info,TRUE,TRUE,TRUE
19,4/25/2023 4:13,New Solution Available,A new green solution has been added to the marketplace.,info,TRUE,TRUE,TRUE
20,3/31/2023 4:13,New Solution Available,A new green solution has been added to the marketplace.,info,TRUE,TRUE,TRUE
21,3/1/2023 4:13,Emission Report Due,Your monthly emission report is due in 3 days.,warning,TRUE,FALSE,FALSE
22,1/1/2023 4:13,Emission Report Received,Your emission report for the month has been successfully received.,info,TRUE,FALSE,FALSE
23,11/13/2022 4:13,Emission Reduction Target Missed,"Unfortunately, you did not meet the emission reduction target for this month.",warning,TRUE,FALSE,FALSE
24,9/16/2023 4:13,Emission Report Received,Your emission report for the month has been successfully received.,info,TRUE,FALSE,FALSE
25,2/8/2023 4:13,Payment Failed,Your payment for the green energy solution has failed. Please update your payment method.,error,FALSE,TRUE,TRUE
26,1/17/2023 4:13,New Certification Acquired,A green solution you use has acquired a new certification.,info,TRUE,TRUE,FALSE
27,1/19/2023 4:13,Emission Report Received,Your emission report for the month has been successfully received.,info,TRUE,FALSE,FALSE
28,7/27/2023 4:13,Solution Certification Expired,A green solution you use has an expired certification. Please review.,error,TRUE,TRUE,FALSE
29,10/29/2022 4:13,Emission Reduction Target Met,Congratulations! Your emission reduction target for this month has been achieved.,info,TRUE,FALSE,TRUE
30,9/25/2023 4:13,Solution Certification Expired,A green solution you use has an expired certification. Please review.,error,TRUE,TRUE,FALSE
31,10/23/2023 0:00,Solution Updated,A green solution you use has been updated. Please review the changes.,info,TRUE,TRUE,FALSE
